work,location,time post,applications,description
Intern/Working Student Technology (f/m/d),"PwC Deutschland Frankfurt, Hessen, Deutschland Vor Ort",Vor 1 Woche,197 Bewerbungen,"Deine Aufgaben

Digitalization and business transformation - As a digital native with a working knowledge of finance and/or taxation, you will join a team tasked with shaping the future of Tax & Legal. Your team strives to remain at the forefront, leading our Tax & Legal technology-enabled innovators.

Innovative approaches - Your ""out of the box"" thinking and your keen eye for increased efficiency and productivity can help optimize business processes, introduce novel ideas and redefine our client service approach by using new technologies.

IT architecture of the future - You can support your team in structuring internal and client-facing IT architecture. Amongst other things, we integrate new technology solutions like machine learning and cloud computing into existing business operations - with a focus on Tax & Legal.

Creative activities - By successfully developing and applying your own creative ideas and analytical thought processes you add value to the team. This could start with the identification of a need, contributing to the designing of a holistic solution as well as supporting the development and ultimate implementation thereof.

Keep in Touch - As an intern or working student, you will not only benefit from exciting tasks, but also from offers from our internship program KIT (Keep in Touch).

Dein Profil

You are studying information sciences, computer science, software engineering, one of the STEM subjects, or a comparable field in at least your third semester.

Your heart beats for the digital world and you are curious about exploring new technologies. You also have a basic understanding of technology and its influence on (business) processes, the interrelationships between IT systems and data structures, as well as a distinct analytical way of thinking.

Having a creative problem-solving attitude, you take initiative and strive to exceed expectations. A willingness to learn, the ability to self-manage and a customer-oriented approach are desired.

Knowledge of Excel VBA and at least one object-oriented programming languages (C#, Java, C++), relational or NoSQL database management systems. Data analytics and business intelligence skills (e.g. Python, UiPath, Alteryx etc.) are nice-to-have but are not prerequisites. We shall help you learn and apply new techniques in solving real-world problems.

Prior experience with agile project management would be of an advantage.

Good knowledge of German and fluent English completes your profile.

Please inform us on the period (at least 3 months) and the preferred locations in your application.

Deine Benefits

Überstundenausgleich: Bei PwC werden alle Überstunden mit Freizeit ausgeglichen.

Mentoring: Bei PwC profitierst du von eine:r persönlichen Mentor:in, der dir sowohl in fachlicher als auch persönlicher Hinsicht mit Rat und Tat zur Seite steht.

Keep in Touch: Auch nach dem Praktikum bleiben wir mit dir in Kontakt und bieten dir in unserem Praktikanten-Programm viele Vorzüge – wie etwa Einladungen zu exklusiven Seminaren und Workshops oder umfassende Infos zu deinen Einstiegsmöglichkeiten.

Standortbezogene Extras: Bei PwC profitierst du von einer ganzen Reihe an Vorteilen - angefangen bei gesunden Mahlzeiten in den Casinos vor Ort, Vergünstigungen in Restaurants und im Einzelhandel über Jobtickets bis hin zu kostenlosen Betriebssportangeboten wie Yoga oder HIIT Workouts.

Die abgebildeten Leistungen können je nach Position, Geschäftsbereich und Standort leicht variieren.

T-100817

Annika Meister,

Tel.: +49 6995853035

Gerne kannst du dich bei uns in Deutsch oder Englisch bewerben. Wenn du Schwierigkeiten mit deiner Bewerbung hast, stehen wir dir unter Tel. 069 9585 6800 jederzeit zur Verfügung.

Allgemeine Fragen zu PwC und den Einstiegsmöglichkeiten beantworten wir dir gerne unter Tel. 069 9585 5226."
IT Projektassistent w/m/d,"Computacenter München, Bayern, Deutschland Hybrid",Vor 2 Wochen,41 Bewerbungen,""
Werkstudent*in (w/m/d) Software Entwicklung,"Siemens München, Bayern, Deutschland Vor Ort",Vor 3 Tagen,3 Bewerbungen,""
Working Student: Self-Adaptive Software Systems,"Fraunhofer Karriere München, Bayern, Deutschland Vor Ort",Vor 1 Woche,49 Bewerbungen,""
Working Student (f/m/d) - Network visualization and UI development for novel network management,"Siemens München, Bayern, Deutschland Vor Ort",Vor 2 Wochen,43 Bewerbungen,""
Werkstudent*in (w/m/d) Software Entwicklung,"Siemens München, Bayern, Deutschland Vor Ort",Vor 3 Tagen,9 Bewerbungen,""
"Working Student, Software Engineering","Corsair München, Bayern, Deutschland Vor Ort",Vor 2 Wochen,92 Bewerbungen,""
Internship: VSCode Extension Development (f/m/div)*,"Infineon Technologies München, Bayern, Deutschland Hybrid",Vor 3 Tagen,14 Bewerbungen,""
Working student (f/m/d) Distributed Edge Industrial IoT Systems,"Siemens München, Bayern, Deutschland Vor Ort",Vor 5 Tagen,10 Bewerbungen,""
Working Student: Data Engineering (f/m/div)*,"Infineon Technologies München, Bayern, Deutschland Vor Ort",Vor 1 Woche,57 Bewerbungen,""
FY23 Software Development Intern,Analog Devices Metropolregion München Vor Ort,Vor 1 Monat,59 Bewerbungen,""
Working Student (f/m/d) Cyber Security Governance,"Siemens Energy München, Bayern, Deutschland Vor Ort",Vor 1 Woche,32 Bewerbungen,""
Intern,"Arm Grasbrunn, Bayern, Deutschland Hybrid",Vor 1 Woche,71 Bewerbungen,""
"Student Software Engineering, Computer Science or similar (f/m/x)","Deutsches Zentrum für Luft-und Raumfahrt e.V. Oberpfaffenhofen, Bayern, Deutschland Vor Ort",Vor 1 Monat,18 Bewerbungen,"Your mission:

Free-Space Optical (FSO) communication enables ultra-high-rate data transmission and is an enabling technology for long distance Quantum Key Distribution (QKD). FSO communication systems, on the other hand, are complex technologies that include a number of subsystems that must all function in unison. Therefore, determining the quality of the link that can be established in a particular communication context is a challenging task in and of itself. The classical data rate in a conventional communication scenario or the secure key rate of a QKD protocol can be determined using the predicted signal intensity (i.e., the link budget). Creating software to calculate overall transmissivity and, consequently, the signal strength seen at the receiver, will be the task at hand. This software will be instrumental for the design of FSO communication systems at DLR.

Your qualifications:

student specializing in computer science, information technology, electronic engineering or physics
very good programming skills, including scripting languages (Matlab, Python, or comparable languages) and GUI design
knowledge of Git and Github/Gitlab
very good knowledge of English

Your benefits:

Look forward to a fulfilling job with an employer who appreciates your commitment and supports your personal and professional development. Our unique infrastructure offers you a working environment in which you have unparalleled scope to develop your creative ideas and accomplish your professional objectives. Our human resources policy places great value on a healthy family and work-life-balance as well as equal opportunities for persons of all genders (f/m/x). Individuals with disabilities will be given preferential consideration in the event their qualifications are equivalent to those of other candidates."
Software Working Student (f/m/d),"kiutra GmbH München, Bayern, Deutschland Vor Ort",Vor 2 Tagen,9 Bewerbungen,"kiutra

Do you want to shape the future as part of a diverse, international team in a fast-growing, high-tech company? Then read on!

At kiutra, we contribute to the development and application of quantum technologies by offering innovative and sustainable cooling solutions based on our unique magnetic cooling technology.

For our Munich office, we are looking for a Software Working Student (f/m/d).

Responsibilities

You will support the full stack development of our new HMI:

Implement browser-based GUI using React and Next.js
Work on a python backend to interface between the newly developed user interface and our machine control API
Work on consistent theming across multiple Browser-Apps
Support container-based deployment

Requirements

You are currently enrolled as a student in Computer Science, Media Informatics or a similar field of study
You are proficient in React and Next.js
You are interested in software ergonomics
You have an eye for detail
You have experience in an object-oriented programming language (ideally Python)
You have hands-on experience with code versioning (git) and deployment tools (e.g., gitlab)
You can keep an overview of large software projects
You have a self-organized and independent work style
You have very good verbal and written communication skills in English

Benefits

You will experience an open-minded start-up atmosphere in bright and modern offices with ergonomic equipment
You can look forward to 24 vacation days per year and flexible working hours and place
You will work with a great team in a fast-growing high-tech company
You will have the opportunity to get to know your team members better at our events, e.g., teambuilding events, Christmas party, and other group activities
You will have free cold and hot drinks, snacks, and fruit at your disposal

Interested? Then send us your application now!

To find out more about us, please visit https://kiutra.com/."
Working student (m/f/d) Software Development,"FoxInsights München, Bayern, Deutschland",Vor 3 Tagen,12 Bewerbungen,"We are hiring!

Through digitalisation and data analytics, the FoxInsights team is already revolutionising the sales and ordering process as well as supply chains in the energy, mobility and recycling sectors in 11 European countries. Based on intelligent remote tank monitoring, we develop customer-oriented solutions that bring measurable success and create real added value - both for our partners and their customers.

We are growing – you too can grow with us as

Working student (m/f/d) Software Development

at our office in Munich

Your Mission.

You work on the development of our innovative software landscape
You will help develop an in-house test automation framework for our FoxDevices
You work very closely with our product team
You bring your ideas into your daily work and implement them independently

Your Background.

You are a registered student (m/f/d), preferably in the field of computer science, technology, or a similar course of study
You have 10-20 hours per week to support us
You are a passionate developer (m/f/d) with a hands-on mentality
You have some practical experience in programming in Rust or Go and don’t fear meddling with some C code as well
You want to actively contribute your knowledge, your creativity, and your competence in an international working environment

Your Benefits.

The chance to play a decisive role in shaping FoxInsights path from innovation leader to European champion in the field of Remote Monitoring Intelligence
A responsible task - from the 1st minute with a high degree of independence and development opportunities
A relaxed and performance-oriented atmosphere, great team spirit and cohesion
Modern office space in a central location with a canteen and fun team events
The opportunity to work with FoxInsights when writing a thesis or as an university mandatory internship

Contact.

You are convinced of our idea and want to take off together with us? We are looking forward to your application!

If you have any questions about the position, please contact our HR Team (jobs@foxinsights.ai)."
Student assistant (m/f/d) Cyber Security,"FEV Europe GmbH München, Bayern, Deutschland Hybrid",Vor 1 Monat,18 Bewerbungen,"Reference Number: 50022_BI_29

Student assistant (m/f/d) Cyber Security

What we do - And why!

You want to develop mobility for the future and for everyone. You want to redefine the boundaries of technology and think outside the box. You want to fully develop and enter the next level. Then you don't have to look any further!

We are a young, dynamic division of the FEV company. We are looking for people like YOU!

YOU are someone who …
supports the development and automation of the embedded software toolchain for a premium OEM at the Munich site
assists with ongoing implementation of cyber security requirements or testing tasks
implements and optimizes software development processes
programs generic tools as well as configuration and integration of commercial tools
coordinates technical and organizational content with colleagues across sites

YOU have ...
started a degree in computer science or electrical engineering
knowledge of the programming languages Java, Python and C
basic knowledge of cybersecurity (e.g. penetration test)
very good written and spoken English and German
good analytical skills and independent way of working

What we offer

Shape the mobility of tomorrow

Work on innovative and cutting-edge challenges.

Work flexibly

Our flexible model of scheduling work and our attractive remote-work-model will allow you to find a perfect balance between your personal and professional life.

Expand your horizons

Not only will working on new technologies every day help you improve yourself, but our continuing education program will also help you stay up to date at all times.

Experience Appreciation

An attractive base salary and numerous other benefits offer new opportunities for you.

And what else?

Whatever you need to face new challenges."
Working Student - Computer Vision (m/f/d),"36ZERO Vision München, Bayern, Deutschland Hybrid",Vor 4 Tagen,73 Bewerbungen,"36ZERO Vision is revolutionising the quality assurance and inspection ecosystem by putting the power of artificial intelligence and deep learning in the hands of every user. Our mission is to leave no defect behind and enable manufacturers to leapfrog towards zero-defect production and Industry 4.0.

About the Role

The ideal candidate will have a passion for computer vision and a strong technical background. You will be responsible for developing, researching, and operating computer vision pipelines to enable our product to deliver the expected results in an easy way.

To be successful in this role, you should have a strong understanding of computer vision algorithms and techniques, as well as experience with programming languages such as Python, C++, and Java. You should also have excellent problem-solving skills and be able to work independently.

If you are a motivated individual with a passion for computer vision and a strong technical background, we want to hear from you!

Responsibilities:
Develop, research, and operate computer vision pipelines
Enable our product to deliver the expected results in an easy way
Troubleshoot and debug computer vision pipelines
Research and implement new computer vision algorithms
Collaborate with other teams to ensure successful product delivery
Living and fostering the agile development process
Ensuring efficient versioning, documentation, scalability and continuous improvements
Maintain confidentiality and professionalism


Requirements:
- Bachelor’s degree in Computer Science, Computer Engineering, or a related field
- Experience with programming languages such as Python, C++, and Java
- Strong understanding of computer vision algorithms and techniques
- Excellent problem-solving skills
- Ability to work independently
- Passion for computer vision
- Strong technical background

Our Perks:
Seize the opportunity to create an impact
lead a VC-funded start-up into strong growth, play a decisive role in shaping and measurably contributing to its success
Get the advantages of a growing young venture: a creative and motivated working environment with short decision-making processes, development opportunities, team events, etc.
Trust-based working time
Enjoy the flexibility in terms of remote and office work
And much more...


Contact:
Would you like to rewrite the history of quality testing with us? Then join us and apply now.
Beyond our team, culture and mission, many additional reasons make 36ZERO Vision a great place to work!
We look forward to hearing from you!"
Software Development & Architecture Intern / Working Student,"4.screen München, Bayern, Deutschland Vor Ort",Vor 4 Tagen,5 Bewerbungen,"Become a part of the 4.screen team!
4.screen is the world’s first platform designed to connect, interact, and engage with drivers. We have developed a fully standardized interface for real-time location-based interaction with every driver, of every car brand, worldwide. We are live with leading car brands and working with the most recognized brands on enabling the future of mobility! You will be a part of our Software Development & Architecture Team which is responsible for building the best marketing platform for in-car searches and display types – by combining the assets of existing car UI with state-of-the-art usability.

This is how you will shape the future of mobility at 4.screen as a Software Development & Architecture Intern / Working Student
Work with our most critical & scalable services: You will help us implement and operate our most critical and scalable services
Apply your expertise: You are our advocate for and apply best practices when it comes to availability, scalability, operational excellence, and security
Build the technical architecture: You will participate in technical discussions from the early exploration of ideas to deciding on a concrete path forward
Share your valuable insights with the team: You will share what you have learned about crafting outstanding user experiences with your teammates, so we can all grow as a team
Set an example with your coding skills: You should demonstrate best practices in your code, and uphold them in your code reviews

What You Will Need To Succeed In This Position
Current enrollment in a master’s program or in the later semesters of a bachelor’s degree, ideally in the field of informatics, computer science, machine engineering, or mathematics
Previous programming experience either during studies or as a working student/internship is required
Availability for 3-6 months
Proficiency in English (C1 or higher). German is a plus, not a must
Ability to work independently and take ownership. We are looking for a Hands-On and Can-Do mindset
Curiosity to learn, dive deep into new topics, and support putting insights into action
Be a strong team player, who is happy to share knowledge with others

Why you should join us
Impact: As a full member of the team from day 1, you get the opportunity to personally shape our big vision and drive your own projects
Feedback & Exchange: Starting with your onboarding buddy, you will work alongside leading experts to get their feedback and benefit from their experiences
Learning Opportunity: You'll benefit from a work environment with innovative technologies and being able to learn more about topics such as Analytics, DevOps or Billing & Payment processes.
Flexibility: We provide a hybrid working environment with an office right next to the Olympic Stadium
Compensation package: We offer paid internships and a competitive salary for our working students
Top equipment: We provide you with high-quality gadgets you need to perform at your absolute best
Potential: We would love to keep you for the long run! Depending on our possibilities we could see you transitioning into a full-time position with us at 4.screen after your studies
Community: We celebrate our teams and achievements with regular (virtual) after-work drinks or events such as going to the Oktoberfest

About 4.screen
4.screen is the world’s first platform designed to connect, interact, and engage with drivers. 4.screen’s Mobility Experience Cloud (MXC) provides a fully standardized interface for real-time location-based interaction with every driver, of every car brand, worldwide. Car brands, navigation systems, and mobility service providers integrate 4.screen APIs into their systems to enable billions of interactions every day. Drivers benefit from a wide variety of useful services such as relevant in-car recommendations, better in-car content, and access to exclusive offers. Businesses of all sizes - from local shops to global brands and smart cities - are using 4.screen technology to increase the visibility of their brand or location by offering useful content to drivers. 4.screen is headquartered in Munich and has the world’s leading brands as customers.

Our team at 4.screen consists of ambitious team players that think big and don’t limit themselves. With a mix of young talents and industry experts that have previously been in leading positions at BMW, Daimler, or Google, we continue building an innovative company where everything is dynamic, disruptive, and exciting - and that you can be part of! Are you ready to join the ride and shape the future of mobility?"
Student assistant (m/f/d) Embedded Software & Toolchain,"FEV Europe GmbH München, Bayern, Deutschland Hybrid",Vor 3 Wochen,25 Bewerbungen,"Reference Number: 50023_BI_01

Student assistant (m/f/d) Embedded Software & Toolchain

What we do - And why!

You want to develop mobility for the future and for everyone. You want to redefine the boundaries of technology and think outside the box. You want to fully develop and enter the next level. Then you don't have to look any further!

We are a young, dynamic division of the FEV company. We are looking for people like YOU!

YOU are someone who …
supports the development and automation of the embedded software toolchain for a premium OEM in Munich
implements and optimizes the software development process
is responsible for programming generic tools and configuring and integrating commercial tools
contributes to code generation and software integration of automotive embedded software in the domains Electrification & Powertrain, ADAS/AD and Connectivity
coordinates technical and organizational content with colleagues across sites

YOU have ...
started a degree in computer science, electrical engineering or a comparable subject
knowledge of the programming languages Python, MATLAB / Simulink
experience in tool development, ideally in the OEM or Tier1 environment
knowledge of working methods such as DevOps and SCRUM
Ideally Java and JavaScript know-how
very good written and spoken English and German
good analytical skills and independent way of working

What we offer

Shape the mobility of tomorrow

Work on innovative and cutting-edge challenges.

Work flexibly

Our flexible model of scheduling work and our attractive remote-work-model will allow you to find a perfect balance between your personal and professional life.

Expand your horizons

Not only will working on new technologies every day help you improve yourself, but our continuing education program will also help you stay up to date at all times.

Experience Appreciation

An attractive base salary and numerous other benefits offer new opportunities for you.

And what else?

Whatever you need to face new challenges."
Working Student (f/m/d) AGV (Automated Guided Vehicles) Testing Framework,"Siemens München, Bayern, Deutschland Vor Ort",Vor 3 Tagen,14 Bewerbungen,"Mode of Employment: Limited, 15-20 hours/week


Develop What Will Be Important Tomorrow.

How will we travel, communicate, and use energy in the world of tomorrow? Work on the right answers with us. We are looking for bright minds – thinkers with a passion for practical matters. In short, people who can turn their questions and ours into exciting new discoveries. When you join our team as one of our working students, you will find many opportunities to get involved. Seize the chance to be part of our global network, make key contacts, and get your career as well as your personal life on the best track. Our teams are curious to meet you.

We Make Real What Matters. This Is Your Role.

We are seeking a highly motivated working student to join our team in extending the testing framework (simulation and on real hardware) for our AGV planning algorithms and control approaches. Your task involves extending and improving our testing framework to ensure the robustness and reliability of our AGV systems.

You will help us extend and improve our testing framework for AGV planning algorithms and control approaches
You will support us in creating definitions of testcases to ensure the robustness and reliability of our AGV system
You will work with the team to identify and address any testing gaps
You will support us in testing our software stack on our AGV fleet
You will help us enhance our planning and control algorithms

Use Your Skills To Move The World Forward.

You are currently enrolled in a Bachelor's or Master's degree program in Electrical Engineering, Computer Science, Robotics, or a related field
You have strong programming skills in C++
Ideally you have experience with continuous integration and version control systems
You bring strong analytical and problem-solving skills
Ideally you have experience in software testing, test automation, and test management

Make your mark in our exciting world at Siemens.

www.siemens.de

if you wish to find out more about Siemens before applying.

Do you have questions about the application? Here you will find answers to frequently asked questions.

If you have more questions please contact: www.siemens.de/fragenzurbewerbung

www.siemens.com/careers

if you would like to find out more about jobs & careers at Siemens.

As an equal-opportunity employer we are happy to consider applications from individuals with disabilities.


Organization: Technology

Company: Siemens AG

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
"Research Intern, Dialogue Systems","NVIDIA München, Bayern, Deutschland",Vor 3 Tagen,13 Bewerbungen,"NVIDIA's technology is at the heart of the AI revolution, touching people across the planet by powering everything from self-driving cars, robotics, and voice-powered intelligent assistants. We work on new models for speech recognition, speech synthesis, and natural language processing. Our team crafted Jasper, QuartzNet, Talknet and other state-of-the-art neural models for ASR and text-to-speech, and we've also developed new algorithms to accelerate training large models on our GPU cloud. We are now designing the next generation of dialogue systems, helping developers build chatbots that are more powerful, more natural, and easier to create.

Be a part of the team that's released new models as part of NeMo - an open-source toolkit for Conversational AI and whose models are used by world class companies for applications such as customer service, smart voice assistants, and more. This exciting opportunity will have you collaborating with internal research and product teams, as well as researchers from top machine learning labs, and we are looking for someone who's curious, tenacious, and passionate to join our applied research team to influence and build the next generation of Conversational AI systems!

What You'll Be Doing

Develop new deep learning models, training algorithms, and frameworks for dialogue systems using very large language models
Transfer your technology to NVIDIA’s software product teams
Publish your research at conferences (ACL, EMNLP, NAACL)

What We Need To See

Current PhD or MSc student in Computer Science, Electrical Engineering, Artificial Intelligence, or Applied Math
Advanced understanding of Deep Learning with applications in Speech Processing and NLP
Strong Python programming skills and experience with deep learning frameworks such as PyTorch or TensorFlow
Experienced mathematical background, especially in optimization theory, stochastic algorithms, and/or numerical methods

Ways To Stand Out From The Crowd

Research or product development experience with task-oriented dialogue systems
Systems software engineering knowledge and expertise in optimizing software for computational performance
Contribution to open source software projects"
Werkstudent*in (w/m/d) Digitalisierung und Automatisierung,"Siemens München, Bayern, Deutschland Vor Ort",Vor 2 Tagen,3 Bewerbungen,"Art der Anstellung: Befristet; 16-20 Stunden/Woche

Deine Extraportion Praxis.

Wie werden wir uns übermorgen fortbewegen, miteinander kommunizieren, Energien nutzen? Lass uns gemeinsam an den Antworten arbeiten. Wir suchen dafür kluge Köpfe, die Theorie in Praxis umwandeln und clever mitdenken. Kurz: Menschen, die ihre und unsere Fragen in neue Ausrufezeichen verwandeln wollen! Als Werkstudent*in stehen dir bei uns viele Türen offen, um dich einzubringen: Ergreife die Chance und werde Teil unseres weltweiten Netzwerks, knüpfe wichtige Kontakte und lege so den Grundstein für deine berufliche und persönliche Zukunft. Unsere Teams freuen sich auf dich.

Verändere mit uns die Welt von morgen.

Du wirkst mit bei der Produkteinführung unserer Green Digital Twin Web Applikationen zur Kalkulation, Simulation und Optimierung von CO2-/Product Environmental Footprints und zur Erstellung von Life-Cyle Assessments bzw. Environmental Product Declarations
Du unterstützt uns bei Analyse von Ökobilanzierungs- und EPD-Datenbanken mittels Webcrawling, Bereitstellung einer Datenbank und Analyse/Visualisierung von Daten
Du hilfst unseren Experten im Tagesgeschäft und arbeitest mit bei der Software Entwicklung von Web Applikationen, welche in der AWS/Azure Cloud bereitgestellt werden
Du wirkst mit bei der Erstellung von Dokumentation für IT und Sicherheitskonzepte
Du hast die Möglichkeit Deine Ideen und im Studium erworbenes Fachwissen in unserem Team einzubringen und umfangreiche Praxiserfahrungen zu sammeln

Dein Profil für ""Zukunft möglich machen"".

Du studierst derzeit erfolgreich Informatik, Wirtschaftsinformatik oder eine ähnliche Fachrichtung im fortgeschrittenen Semester und stehst uns für ca. 16-20 Stunden / Woche zur Verfügung
Du besitzt Erfahrungen in der Datenbankerstellung (SQL) und Erfahrungen beim Crawling von Daten
Idealerweise hast Du bereits erste praktische Erfahrungen im Umgang mit Python und Low Code Programmierung (z.B. Mendix)
Von Vorteil sind Kenntnisse über Code Versionierung (Git) und erste Erfahrungen bezüglich Containerisierung mit Docker
Im Umgang mit MS-Office (insbesondere mit Excel) bist Du sehr sicher
Sehr gute Deutsch- und Englischkenntnisse runden Ihr Profil ab

Der Großteil der Arbeitszeit kann remote durchgeführt werden mit einzelnen Terminen am Standort

Dein kleiner Schritt in Richtung großartiger Siemens-Welt.

www.siemens.de

wenn du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

Du hast Fragen zur Bewerbung? Hier findest du Antworten auf häufig gestellte Fragen.

Wenn du darüber hinaus noch Fragen hast, wende dich gerne an uns: www.siemens.de/fragenzurbewerbung

www.siemens.de/karriere

wenn du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organization: Supply Chain Management

Company: Siemens AG

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
Werkstudent*in (w/m/d) Digitalisierung und Automatisierung,"Siemens München, Bayern, Deutschland Vor Ort",Vor 2 Tagen,1 Bewerbung,"Art der Anstellung: Befristet; 16-20 Stunden/Woche

Deine Extraportion Praxis.

Wie werden wir uns übermorgen fortbewegen, miteinander kommunizieren, Energien nutzen? Lass uns gemeinsam an den Antworten arbeiten. Wir suchen dafür kluge Köpfe, die Theorie in Praxis umwandeln und clever mitdenken. Kurz: Menschen, die ihre und unsere Fragen in neue Ausrufezeichen verwandeln wollen! Als Werkstudent*in stehen dir bei uns viele Türen offen, um dich einzubringen: Ergreife die Chance und werde Teil unseres weltweiten Netzwerks, knüpfe wichtige Kontakte und lege so den Grundstein für deine berufliche und persönliche Zukunft. Unsere Teams freuen sich auf dich.

Verändere mit uns die Welt von morgen.

Du wirkst mit bei der Produkteinführung unserer Green Digital Twin Web Applikationen zur Kalkulation, Simulation und Optimierung von CO2-/Product Environmental Footprints und zur Erstellung von Life-Cyle Assessments bzw. Environmental Product Declarations
Du unterstützt uns bei Analyse von Ökobilanzierungs- und EPD-Datenbanken mittels Webcrawling, Bereitstellung einer Datenbank und Analyse/Visualisierung von Daten
Du hilfst unseren Experten im Tagesgeschäft und arbeitest mit bei der Software Entwicklung von Web Applikationen, welche in der AWS/Azure Cloud bereitgestellt werden
Du wirkst mit bei der Erstellung von Dokumentation für IT und Sicherheitskonzepte
Du hast die Möglichkeit Deine Ideen und im Studium erworbenes Fachwissen in unserem Team einzubringen und umfangreiche Praxiserfahrungen zu sammeln

Dein Profil für ""Zukunft möglich machen"".

Du studierst derzeit erfolgreich Informatik, Wirtschaftsinformatik oder eine ähnliche Fachrichtung im fortgeschrittenen Semester und stehst uns für ca. 16-20 Stunden / Woche zur Verfügung
Du besitzt Erfahrungen in der Datenbankerstellung (SQL) und Erfahrungen beim Crawling von Daten
Idealerweise hast Du bereits erste praktische Erfahrungen im Umgang mit Python und Low Code Programmierung (z.B. Mendix)
Von Vorteil sind Kenntnisse über Code Versionierung (Git) und erste Erfahrungen bezüglich Containerisierung mit Docker
Im Umgang mit MS-Office (insbesondere mit Excel) bist Du sehr sicher
Sehr gute Deutsch- und Englischkenntnisse runden Ihr Profil ab

Der Großteil der Arbeitszeit kann remote durchgeführt werden mit einzelnen Terminen am Standort

Dein kleiner Schritt in Richtung großartiger Siemens-Welt.

www.siemens.de

wenn du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

Du hast Fragen zur Bewerbung? Hier findest du Antworten auf häufig gestellte Fragen.

Wenn du darüber hinaus noch Fragen hast, wende dich gerne an uns: www.siemens.de/fragenzurbewerbung

www.siemens.de/karriere

wenn du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Supply Chain Management

Unternehmen: Siemens AG

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Werkstudent (d/m/w) im Bereich IT and Satellite Services Operations,"Airbus München, Bayern, Deutschland Hybrid",Vor 1 Monat,4 Bewerbungen,"Job Description

Zur Unterstützung von dem Bereich IT und Satellite Services Operations, sucht Airbus Defence and Space eine/n

Werkstudent im Bereich IT and Satellite Services Operations (d/m/w)

Als Werkstudent (d/m/w) gewinnen Sie einen tiefen Einblick über den Betrieb von Satelliten- sowie Kommunikationsdiensten und die zugehörige IT-Infrastruktur in der Abteilung Services Operations bei Secure Communications.

Dein Standort

Unser Standort ist nur einen Katzensprung von München, der schönen Hauptstadt Bayerns, entfernt. Du liebst Sport und andere Outdoor-Aktivitäten? Die Alpen und der Starnberger See sind in einer Stunde zu erreichen und bieten eine Vielzahl von Freizeitmöglichkeiten.

Deine Aufgaben und Verantwortlichkeiten

Unterstützung eines Teams von ca. 10 Personen für den Betrieb von Satelliten und insbesondere der zugehörigen Bodensysteme und Netzwerke.
Visualisierung, Wartung und Pflege von Daten bzw. Datensätzen zu IT und Telekommunikationsstrukturen im Bereich Satellite and Secure Communications.
Entwicklung eines Tools für die Prozessierung und Visualisierung von Satelliten Telemetrie mittels Web-Application
Wartung und Pflege von Datensätzen für das IT Asset Management, Kabel- und Infrastrukturmanagement sowie Telecommunication Resource Management.

Gewünschte Fähigkeiten und Qualifikationen

Eingeschriebener Vollzeitstudent (d/m/w) im Bereich Kommunikationstechnik, Informationstechnik, Raumfahrttechnik, Informatik oder einer vergleichbaren Studienrichtung im Bereich MINT
Grundlagen der Informationstechnik (IT)
IT Programme (eventuelle Programmiersprachen) und technische Kenntnisse
Deutsch: fließend/verhandlungssicher
Englisch: Gute Kenntnisse
Sie sind teamfähig, kommunikativ und verfügen über eine eigenständige Arbeitsweise.

Du passt nicht zu 100%? Kein Grund zur Sorge! Airbus unterstützt Deine persönliche Entwicklung mit maßgeschneiderten Entwicklungslösungen.

Bring deine Karriere auf ein neues Niveau und bewirb dich jetzt online!

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

Company

Airbus Defence and Space GmbH

Contract Type

Werkstudent (GE)

Experience Level

Student / Etudiant / Student / Estudiante

Job Family

Support to Management

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.

Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.

Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com.

At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking."
